scenario,paths,analytic,rmse,bias,mean_standard_error,mean_ci_width,coverage,seed_count,runtime_seconds
itm_call,16000,26.462085709671783,0.19363531112340149,-0.051477880790270603,0.21860853511221515,0.85699454478037773,1,32,0.032456958000000001
itm_call,64000,26.462085709671783,0.10416753060328042,0.025285028648333818,0.10951747268942955,0.42930872348971777,0.9375,32,0.12865124999999999
itm_call,256000,26.462085709671783,0.048196138840794114,-0.0021664789085968925,0.054729995338500391,0.21453865382216478,0.96875,32,0.52338591700000003
itm_call,1024000,26.462085709671783,0.031314998399286864,0.0018344957886952122,0.027372850551278041,0.10729972932166687,0.9375,32,2.2398008329999999
atm_put,1000,9.3541972360572316,0.39460000330717493,0.055478332878722503,0.41176317613264068,1.6160399053860852,0.96875,32,0.0028165410000000001
atm_put,4000,9.3541972360572316,0.19708468418657843,0.01940436839414578,0.2056099172546432,0.80622008019230573,0.96875,32,0.0085949170000000005
atm_put,16000,9.3541972360572316,0.095768019998222625,0.019983294665370414,0.10274697159294749,0.4027911998159685,0.96875,32,0.033583250000000002
atm_put,64000,9.3541972360572316,0.051249192474685054,-0.0049899923580111766,0.051302278257909228,0.20110503876833036,0.96875,32,0.14596695900000001
atm_put,256000,9.3541972360572316,0.021445870244863986,0.0010711901427240542,0.02565263964184037,0.1005569750500971,0.96875,32,0.52933320800000006
atm_put,1024000,9.3541972360572316,0.012229781493121214,-0.001026105645371866,0.012824411900315601,0.050270830326408215,0.96875,32,2.150247792
short_maturity,1000,3.6585674067004632,0.20299238721496865,-0.0027742482571491492,0.17250051282662693,0.67700981677291705,0.90625,32,0.0029345
short_maturity,4000,3.6585674067004632,0.092051026794243068,0.0013351302441147739,0.08620052878088677,0.33800216523736915,0.9375,32,0.0086002909999999995
short_maturity,16000,3.6585674067004632,0.040065660735499921,-0.0098405680531915285,0.043059252239365756,0.168801937456452,1,32,0.033449959000000001
short_maturity,64000,3.6585674067004632,0.021472805264947738,0.0054219323005273296,0.021594320712096018,0.08464978264999988,0.9375,32,0.13213787499999999
short_maturity,256000,3.6585674067004632,0.0097937269101979925,-0.0003473317156310467,0.010788113095118419,0.042288826198379627,0.96875,32,0.52900716699999994
